"Date","Activity","Source/Destination","Wallet Txn ID","Comment","Debit","Credit","Transaction Breakup","Status"
"28/12/2019 15:17:59","Paid for order","Paytm Airtel Mobile Recharge Order #9996662058","28100112014","","10","","","SUCCESS"
"26/12/2019 12:07:17","Paid for order","Paytm Airtel Mobile Recharge Order #9981871163","28063123169","","23","","","SUCCESS"
"15/12/2019 12:13:58","Cashback received","Paytm Order #GE_667653461_0","27891510590","","","10","","SUCCESS"
"15/12/2019 12:11:34","Paid for order","Paytm BSNL Mobile Recharge Order #9906416020","27891463828","","99","","","SUCCESS"
"22/06/2020 18:00:08","Cashback received","Paytm Order #GRTCASH-936761730","30258499937","","","10","","SUCCESS"
10/5/2020 8:29,Paid for order,Paytm BSNL Mobile Recharge Order #11039409684,30036292575,,99,,,SUCCESS
30/05/2020 08:29:08,Added to Loyalty Wallet,Paytm First Games Order #GRTCASH-913603524,30036298602,,,20,Loyalty Wallet: 20,SUCCESS
30/05/2020 08:28:05,Paid for order,Paytm BSNL Mobile Recharge Order #11039409684,30036292575,,99,,,SUCCESS
21/05/2020 11:25:10,Added to wallet,Paytm Order #10987115108,29946848233,,,100,,SUCCESS
"29/02/2020 11:11:59","Cashback received","Paytm Order #GRTCASH-819170061","29110522853","","","16","","SUCCESS"
"29/02/2020 09:57:12","Added to Loyalty Wallet","Paytm First Games Order #affa81582950432740P","29109584401","","","10","Loyalty Wallet: 10","SUCCESS"
"29/02/2020 09:57:11","Paid for order","Paytm BSNL Mobile Recharge Order #10439073616","29109584142","","319","","","SUCCESS"
"29/02/2020 09:55:05","Added to wallet","Paytm Order #10439085020","29109562355","","","70","","SUCCESS"
"11/02/2020 12:50:04","Cashback received","Perfetti Van Melle India Pvt Ltd Order #GRTCASH-619336750","28830425441","","","10","","SUCCESS"
"11/02/2020 12:11:26","Paid for order","shyam bakery Order #202002111211250028","28829658337","","10","","","SUCCESS"
"11/02/2020 12:10:30","Paid for order","shyam bakery Order #202002111210290028","28829636598","","25","","","SUCCESS"
"11/02/2020 11:57:48","Paid for order","Order #SM_914ED6A64B591273","28829360896","From: KANCHAN KANWAR  To: Vidit","185","","","SUCCESS"
"06/02/2020 13:17:56","Money sent","Order #SM_BBA321DB834C3DAE","28747589956","From: KANCHAN KANWAR  To: Pky","120","","","SUCCESS"
"05/02/2020 14:48:21","Money sent","Order #SM_EFE4EA3068624460","28733798383","From: KANCHAN KANWAR  To: Yadav Madhu","20","","","SUCCESS"
"07/04/2020 09:56:16","Cashback received","Paytm Recharge Order #GRTCASH-862830327","29551844005","","","25","","SUCCESS"
"07/04/2020 09:56:13","Paid for order","Paytm Airtel Mobile Recharge Order #10698742716","29551843660","","399","","","SUCCESS"
"07/04/2020 09:54:52","Added to wallet","Paytm Recharge Order #10698522249","29551833902","","","380","","SUCCESS"
"14/08/2020 17:14:26","Paid for order","Sharma Ji Dairy Order #202008141714190002","30786283201","","40","","","SUCCESS"
"01/08/2020 08:04:29","Paid for order","Chomu fal Sabji bhandar Order #202008010804140053","30644742334","","60","","","SUCCESS"
"01/08/2020 08:03:59","Added to wallet","Paytm Order #11412706041","30644739994","","","100","","SUCCESS"
